chq,faq,value
"This patient found out about a drug called ""coumarin"" for chronic lymphedema on the World Wide Web (New England Journal of Medicine, Oct 14, 1993) and wants to know if it is safe. Dr. X said she didn't know but would look into it.","Is ""coumarin"" safe for chronic lymphedema?",1
What would cause back pain following intercourse (ejaculation)? Would prostatitis do it?,What would cause back pain following ejaculation?,1
I have to look up thyroid nodules. So the question is how to work up thyroid nodules.,What is the workup for thyroid nodules?,1
53-year-old woman. What would cause leg cramps that involve the entire leg and last one and a half hours?,"Patient with pelvic inflammatory disease and generalized abdominal pain, is it Fitz-Hugh-Curtis syndrome?",0
One-year-old girl. Physiologic murmur. In what percent of healthy well-child checks is a physiologic murmur heard?,In what percent of well child checks is a physiologic murmur heard?,1
Had shortness of breath which is unusual for her. Doctor wishes she had access to a list of things that might cause shortness of breath in a normally healthy 28-year-old. Concerned about pulmonary embolism.,Does Corona virus cause shortness of breath?,0
How long should this patient be kept on Floxin? Has a history of two previous bouts of cystitis.,How do you use Redux? What are the indications?,0
What is causing her hives?  Has had two courses (burst and taper) of prednisone and rash returns when she stops prednisone.  Also complains of fatigue.,What are New York Heart Association classes I - IV? Where to find explanation?,0
Patient here for temporal arteritis. Her sedimentation rate has not come down with the current dose of prednisone. Do I need to push the prednisone harder?,What size pills does digoxin come in?,0
"If a patient's husband has a positive blood test for Hepatitis C and elevated liver function tests, should the couple use condoms?",I wonder if this patient could have a rotator cuff thing?,0
"Seven-year-old boy with possible attention deficit disorder.  I (investigator) asked him what the question was and he said, ""Well, I think 5 milligrams of Ritalin twice a day should be high enough to have some effect with a seven-year-old, but the question was, do you increase the dose or do you just put him on it or what?""",Is 5 milligrams of Ritalin enough to affect behavior in a seven-year-old?,1
"Are patients who leave with something in their hand (sample or prescription) more likely to get better, than those who leave with nothing? Does that symbolize something, like the old witch doctor approach? I feel better when I give something but does it have anything to do with the outcome. Like in this case I gave a sample Proventil inhaler. Would it have been any benefit to give a sample of air? You always hear ""The doctor never did anything for me."" He could have spent an hour doing patient education, but . . .",X-rays show foraminal narrowing at cervical spine level 5-6 (C5-6). What fingers are innervated by C5-6?,0
6-month-old boy involved in a motor vehicle accident where the air bag went off approximately three weeks ago.  Could the cough be caused by the air bag deployment?,I wonder if this patient could have a rotator cuff thing?,0
75-year-old man.  What ultrasound surveillance is necessary after carotid endarterectomy and is any ultrasound surveillance needed?,What is the followup after carotid endarterectomy?,1
"What is causing her fatigue? A young healthy woman with normal lab work complaining of fatigue. Denies depression, but has had 2 recent miscarriages.","What is causing her fatigue? Young woman with normal laboratory work, denies depression.",1
What were the circumstances of the recent deaths reported with sumatriptan (Imitrex)?,What were the circumstances of the recent deaths reported with sumatriptan (Imitrex)?,1
"""What antihypertensives are OK in someone who wants to get pregnant?""","Should patients with osteoporosis get bone densitometry, because now we have Fosamax?",0
"Five-year-old boy seen by my partner for kindergarten physical, mentioned he had been having some chest pain. Got an electrocardiogram which showed a QTc (corrected QT interval) of 440 milliseconds, otherwise normal electrocardiogram. ""Any further workup needed?""",Is any workup needed for a QTc (corrected QT interval) of 440 milliseconds?,1
How should you counsel a young man with no children who wants a vasectomy?,How should you counsel a young man with no children who wants a vasectomy?,1
"I had a question about enuresis in adults.  I told them to get him up two to three times at night, and not give a lot of fluids before he goes to bed, and they tried that, but it didn't work.",What is the approach to enuresis in an adult?,1
"Male college student adopted from Korea. Tuberculin Tine negative at the time adopted, now has positive Mantoux on college physical examination. Could he have gotten BCG (bacille Calmette-Guerin) vaccine?",Let's give these immunizations. That's right isn't it?,0
What are the DSM IV (Diagnostic and Statistical Manual of Mental Disorders) criteria differences between borderline personality disorder and post-traumatic stress disorder?,"Several ear infections, doesn't get over them completely. Which antibiotic now?",0
How do you treat a tachycardia with a wandering atrial pacemaker (multifocal atrial tachycardia)?,What is the cause of this woman's long term head shaking (tremor)?,0
What should you do if there is a discrepancy between the Papanicolaou smear and the colposcopy biopsy results?,What should you do if there is a discrepancy between the Papanicolaou smear and the cervical biopsy?,1
"How should you suspend anticoagulant therapy (warfarin, Coumadin) for surgery?  Should you use heparin, low-molecular weight heparin, or nothing and for how long?","Obstetric patient, 39 weeks had a little sore, ? herpes.  How long after she heals is it safe to do a vaginal delivery?",0
What is a reasonable heart rate to achieve for aerobic exercise?,What is a reasonable heart rate to achieve for aerobic exercise?,1
Do you need to monitor liver function tests with griseofulvin or terbinafine?,Do you need to monitor liver function tests with griseofulvin?,1
37-year-old on Triphasil with 10 days of bleeding starting 5 days before the placebo pills.  I'm just checking the dose of Provera for dysfunctional uterine bleeding.,What is the approach to a woman on the pill with irregular bleeding?,1
What is the differential diagnosis of sialorrhea?,"What to do with this patient, biopsy shows carcinoma in situ of the vulva?",0
"We saw this lady with a history of renal stones and hypercalcemia.  The parathyroid hormone was 5 (normal 10 to 65), the calcium was about 9 (normal) and the phosphorus was about 2.0 (should be greater than 2.5).  ""So it's like, OK, what do we do with this now?""",What is the evaluation of a low phosphorus?,1
Is there something like a screening test for diabetic neuropathy that's practical for family physicians? I'd probably lose those nylon things. I just touch their feet with my finger.,Is there a screening test for diabetic neuropathy that's practical for family physicians?,1
"Mother has juvenile rheumatoid arthritis. ""Is the baby at high risk for juvenile rheumatoid arthritis, and what would we be looking for in the baby?""",Is juvenile rheumatoid arthritis hereditary?,1
"""We had a question."" The study physician said this as he came out of the exam room with a resident.  ""The safety of lansoprazole in pregnancy.""",What are the strengths of Synthroid and what is appropriate for this patient?,0
Should a 77-year-old woman with herpes zoster on the face be treated with steroids to prevent post herpetic neuralgia?  How good is the evidence?,Should a 77-year-old woman with herpes zoster on the face be treated with steroids?,1
How many months apart should the patient receive Prevnar shots (doses)?,How many months apart should the patient receive Prevnar?,1
What antibiotic should you use in someone with a COPD (chronic obstructive pulmonary disease) exacerbation who requires admission?,"Are her symptoms (sweating, feeling of being stimulated, nervous) due to Paxil?",0
"This is an ethical question. I have an elderly lady who is depressed. But she considers depression a ""moral weakness"" and says she's not depressed. So the question is, ""Can I give her an antidepressant and say it's an energy pill?""","Is it ethical to prescribe an antidepressant and tell the patient it's an ""energy pill""?",1
What would cause brief myoclonic jerking in one leg in an infant? Would a benign myoclonus do this or should we be concerned about a seizure disorder?,What would cause brief myoclonic jerking in one leg in an infant?,1
What is the best and most cost effective way to diagnose sinusitis (acute vs. chronic)?  I don't want to do a CT.,"What is the maximum dose of digoxin? (patient seen in emergency room, had digoxin level less than 0.03)",0
"At what point do I start him on something prophylactic for his asthma, rather than just as-needed Proventil metered-dose inhaler?",At what point do I start him on something prophylactic for his asthma?,1
"46-year-old woman with pituitary. There should be a book with all you need to know about prescribing steroids. It should have all types of steroids and a comparison scale with the concept of equivalent doses and the concept of physiologic levels and the concept of stress dosing, and how to bump up and taper down.",Let's give these immunizations. That's right isn't it?,0
Does the serum cholesterol go down with acute illness? Is it worth getting on hospitalized patients?,Does the serum cholesterol go down with acute illness?,1
Why is he falling asleep in school?  Apparently he is fine on weekends and in the evening.,Why is he falling asleep in school?,1
Is prostate cancer hereditary?,Is melatonin good for anything? What is the dose?,0
How do I do a paracentesis?,How do I do a paracentesis?,1
How long should you keep someone anticoagulated after a successful cardioversion if they were anticoagulated before for the purpose of doing an elective cardioversion from atrial fibrillation?,How do you inject the bicipital tendon?,0
What are the possible causes of an acute inflammatory scrotal mass?,What are the causes of an acute inflammatory scrotal mass?,1
"Nonfasting blood sugar approximately 370, fasting blood sugar approximately 45. Drew glycosylated hemoglobin today. Dr. X thinks there is a condition with high postprandial blood sugars. Is there a better name for glucose intolerance?",Did I write the prescription correctly for Synalar lotion?,0
"30-year-old man with a rash on his abdomen and legs, quite extensive, never seen this kind of rash before.  The question is, what is this rash?",What is this rash?,1
Is this eczema in the diaper area?,How should I treat polymenorrhea in a 14-year-old girl?,0
When should you get the electroencephalogram in a child admitted with a first seizure of unknown etiology?,When should you get the electroencephalogram in a child admitted with a first seizure?,1
"This patient is almost 34 years old and her mother was diagnosed with breast cancer in her early 50's.  Her mother's sister also has breast cancer and her maternal grandmother died of breast cancer in her 50's.  The question is, does she need to do anything earlier?  Genetic testing or what?","What testing should be offered a 34-year-old woman whose mother, maternal aunt, and maternal grandmother all had breast cancer in their 50's?",1
He has a mole on his back. Is it a seborrheic keratosis or an intradermal nevus?,I wonder if this patient could have a rotator cuff thing?,0
"13-year-old boy complaining of gynecomastia. Obese, type 2 diabetic. I don't know what to do about the gynecomastia. I don't know whether hormonal treatments would be better or surgery.",What antibiotic should I use for this diabetic patient's infected foot ulcer?,0
"Man in his 90's with a change is bowel habits, and decreased caliber of stools.  Do you (1) do a sigmoidoscopy, (2) do nothing, (3) compromise and use Hemoccult cards?",Pin-point rash. Is it the environmental rash at the nursing home or is it the Augmentin?,0
38-year-old man.  What are the Ottawa criteria for ankle x-rays?,What antibiotic should I use for this diabetic patient's infected foot ulcer?,0
How long do you need to wait after giving the Hepatitis B vaccine to check the Hepatitis B surface antibody to see if the vaccine worked and what to do if it didn't work?,How long do you wait after the Hepatitis B vaccine to check the Hepatitis B surface antibody?,1
How do you work up a woman complaining of generalized hair loss (alopecia)?,What is best way to deal with little capillary things that occur on the face?,0
Is it okay to give doxycycline to a breast feeding mother?,I wonder if this patient could have a rotator cuff thing?,0
"Six-month old boy with respiratory syncytial virus and herpes simplex virus-type 1 around his mouth.  ""When is it too late to treat an outbreak of chickenpox or oral herpes with acyclovir?",When is it too late to treat herpes simplex with acyclovir?,1
Can anemia or acute gastrointestinal blood loss elevate the lactate dehydrogenase? (Patient also had a transfusion reaction. LDH1 (lactate dehydrogenase1) was normal so not heart),Can anemia or acute gastrointestinal blood loss elevate the lactate dehydrogenase?,1
"If someone has an artificial heart valve and their child has documented streptococcal sore throat, do they need to be treated with penicillin?",Why did she get Coccidiomycosis?,0
How do you make the diagnosis of proctalgia fugax and how do you treat it?,How do you make the diagnosis of proctalgia fugax and how do you treat it?,1
Is it really Benadryl that's in Tylenol PM?  I just didn't want her taking that with all her muscle relaxants.,How should I treat polymenorrhea in a 14-year-old girl?,0
"61-year-old man with rash on face, thought to be secondary to photosensitivity from herbal medication, but now worse even after stopping this preparation.  ""How are we going to fix him?""  ""What else could be doing this?""",What is the bulletin for patients with Crohn's and how to get them on mailing list?,0
What is causing the elevated liver function tests?,What is causing the elevated liver function tests?,1
Is it okay to breast feed if you are getting Depo-Provera for contraception?,Should we switch to Ancef for this diabetic foot ulcer? Improvement adequate?,0
"Should we be recommending tamoxifen or raloxifene to women with greater than a 1.67% chance of getting breast cancer in the next 5 years according to the Gail model, and what is the Gail model?",What is the cause and treatment of this old man's stomatitis?,0
"5-year-old girl, inpatient, with possible achondroplasia.  However, the pediatric radiologist didn't think it was achondroplasia so the question was, ""What is the differential diagnosis of bony aplasia?""",What is the differential diagnosis of bony aplasia?,1
What would cause hyperreflexia in an otherwise healthy person?,How should I treat polymenorrhea in a 14-year-old girl?,0
18-year-old female was vaccinated for chickenpox four years ago and again one month ago. She got a pruritic vesicular rash. How common is it to get chickenpox after the vaccine?,How common is chickenpox after the vaccine?,1
Can you develop a tolerance to Tylenol (acetaminophen) if you take it chronically for arthritis?,Can you develop a tolerance to acetaminophen if you take it chronically for arthritis?,1
"Ovarian stromal cyst removed by gynecologist. They found, at that time, a ""streak"" ovary. What is the etiology and embryonic development associated with this condition?",What is etiology and embryonic development of streak ovary?,1
"Does she have any underlying inflammation of her kidneys? Creatinine approximately 1.0, 3+ albumin on urinalysis, just over 500 milligrams protein/ 24 hrs, normal intravenous pyelogram.",How do you use Redux? What are the indications?,0
Is there any kind of legitimate arthritis cream you could prescribe for a patient?,Is there any kind of legitimate arthritis cream you could prescribe?,1
12-year-old boy. I'm seeing a lot of patients with cough. When is it appropriate to investigate for pertussis and how do you do it?,I wonder if this patient could have a rotator cuff thing?,0
What are the indications for estrogen cream versus testosterone cream versus steroid creams for vulvar skin diseases and what is the classification of vulvar disease?,What are the indications for estrogen versus testosterone versus steroid cream for vulvar skin diseases?,1
"42-year-old woman. Her tympanic membrane retracts with nasal inspiration. ""What would cause that?""",What would cause the tympanic membrane to retract with inspiration?,1
"How do you treat a chronic (candida, monilia) paronychia?",How do you treat a chronic paronychia?,1
Is ranitidine indicated routinely in stroke patients to prevent stress ulcers?,Is ranitidine indicated routinely in stroke patients to prevent stress ulcers?,1
I saw a lady with a sore thumb. I thought it was gout. What is the sensitivity of joint aspiration in diagnosing gout?,What is dose of Tagamet when used for warts?,0
"89-year-old man with end-stage renal disease, dyspnea, and fluid overload on chest film. On Lasix 200 milligrams twice a day. ""I have a question. Why isn't he responding to oral . . . you know?",How should I treat polymenorrhea in a 14-year-old girl?,0
"No symptoms, previous prostate biopsy.  Prostate specific antigen in 1994= approximately 4; 1995= approximately 4; 1996=approximately 6.5.  What to do?  Should you biopsy again?",Prostate specific antigen in 1994= approximately 4; 1995= approximately 4; 1996= approximately 6.5.  What to do?  Should you biopsy again?,1
How do you diagnose rotator cuff tendinitis again?  (Just went to a course on this),How do you diagnose rotator cuff tendinitis again?,1
What's the dose of folic acid for someone who want's to get pregnant?,What's the dose of folic acid for someone who wants to get pregnant?,1
Is Valtrex appropriate and cost effective to treat this patient with chicken pox?  Patient was seen in the emergency room earlier in the week by the physician on call for Dr. X.,Is Valtrex appropriate and cost effective to treat chicken pox?,1
When should we be using troglitazone (Rezulin) for patients with diabetes? Which patients? How often to check liver enzymes?,When should we be using troglitazone (Rezulin) for patients with diabetes?,1
"49-year-old woman asked the physician to fill out a disability form. ""My question is what are the diagnostic criteria for fibromyalgia because that's what the form is asking for (which criteria does she have).""",What are the diagnostic criteria for fibromyalgia?,1
"Two nights ago I had a newborn with a congenital nevus, 4 millimeter diameter on the forehead.  ""What to do?""",What should I do with this congenital nevus?,1
How do you analyze data with a dichotomous outcome variable and a continuous independent variable?,How do you analyze data with a dichotomous outcome variable and a continuous independent variable?,1
Is Rogaine okay to use for female pattern baldness?  What pattern does female baldness take?,Why did she get Coccidiomycosis?,0
Three-week-old girl.  I just wanted to be sure I wrote the right dose of Zantac.,Patient reluctant to take medication. How to control hypertension and still get her cooperation?,0
41-year-old man with a lump in his neck. I don't know what it is. I think it's a muscle spasm but I really don't know.,I wonder if this patient could have a rotator cuff thing?,0
Is it true that men on captopril have a better quality of life than men on enalapril?,I wonder if this patient could have a rotator cuff thing?,0
"11-year-old girl. If someone is sucking on a throat lozenge, does that affect the throat culture or the rapid streptococcal test?","Obstetric patient, 39 weeks had a little sore, ? herpes. How long after she heals is it safe to do a vaginal delivery?",0
70-year-old man with diabetes and transient ischemic attack-like symptoms. I don't know what's going on with him.,What would cause transient ischemic attack-like symptoms with a normal magnetic resonance imaging?,1
What causes peeling fingernails where the ends of the nails flake off? What is this called?,What causes peeling fingernails where the ends of the nails flake off?,1
Are there any causes of a cervical hood besides fetal exposure to diethylstilbestrol?,Are there any causes of a cervical hood besides fetal exposure to diethylstilbestrol?,1
"I saw a young boy. ""What is the definition of conduct disorder?""","46-year-old woman, thyroid nodule. Thyroid function tests normal. Would you skinny needle it?",0
What is D-dimer and what is it used for?,What is D-dimer and what is it used for?,1
How do you treat a few adhesions on the foreskin of a 2 year old?,Let's give these immunizations.  That's right isn't it?,0
How should I treat this fractured base of the fifth metatarsal? Would a splint be good enough?,Should I wait until baby certain age before I do renal ultrasound for single umbilical artery?,0
"Two-year-old with constipation and overflow diarrhea, now having explosive stools on Miralax. ""How to know if he's cleaned out and we're giving too much Miralax versus still having overflow diarrhea?""",Can testes not being in the scrotum come from just being tense?,0
Is it ever normal to have an S3 or S4 gallop in an otherwise young healthy normal person?,X-ray shows chip fracture of carpal bone but doctor couldn't find name of specific bone.,0
We have an allergist that swears that generic prednisone is not as good as Deltasone. I'd like to know if there is any science behind that.,Why did they cut out the Coccidiomycosis granuloma rather than treat it medically?,0
Is oral clindamycin just as likely to cause pseudomembranous colitis as parenteral clindamycin?,How should I treat polymenorrhea in a 14-year-old girl?,0
85-year-old man had left bundle branch block and had surgery and had a perioperative myocardial infarction. So the question was what further evaluation is needed in a patient with left bundle branch block who is undergoing noncardiac surgery?,How should I treat polymenorrhea in a 14-year-old girl?,0
How do you treat Barrett's esophagus? What is it? Should patients have endoscopic surveillance due to increased risk of cancer?,How do you treat Barrett's esophagus?,1
"22-year-old woman. Group B streptococcus on urine culture in early pregnancy. Now 35 weeks. ""Do you still do a culture at 35 weeks?""","Obstetric patient, 39 weeks had a little sore, ? herpes. How long after she heals is it safe to do a vaginal delivery?",0
"How to regulate the protime on this patient? With Coumadin 5, it's too high and with 2 it's too low and there's no dosage in between (the patient isn't eating lettuce).",Boys' father has Marfan's Syndrome. Do these boys need further evaluation?,0
"Interesting patient (29-year-old woman), saw her as a gestational onset diabetic but now, post partum, she has Type I diabetes. Her c-peptide was about 0.5 nanograms/milliliter (normal 1-5) and her serum insulin was about 2 (normal 6 to 27). ""Is this definite Type I diabetes?""",Does a low c-peptide definitely mean Type I diabetes?,1
Patient had a tubal ligation and now her menstrual cramps are worse.  Why would menstrual cramps be worse after a tubal ligation?  She asked Dr. X this question.,Why would menstrual cramps be worse after a tubal ligation?,1
"Four-year-old with asthma, got respiratory syncytial virus.  Do you give albuterol and steroids for respiratory syncytial virus?",Do you give albuterol for respiratory syncytial virus?,1
"Here's a question that I looked up. Seven-year-old adopted patient from Russia, all records are in Russian, and they have not been translated, but parents thought he had had the BCG (Bacillus Calmette-Guerin) vaccine. We did a tuberculin skin test, and it was positive at 15 to 17 millimeters. ""Do we treat it?""",How should I treat a child with a tuberculin skin test of 17 millimeters?,1
"11-year-old girl with asthma. I want to wean her off the Serevent (she's using too much) and start her on a steroid inhaler, but I want to use the steroid that's in Advair in case I have to use both a steroid and Serevent (that is, add back the Serevent). So the question is, what is the steroid that's in Advair.",What is the steroid that's in Advair?,1
"This patient has a history of irregular heart beat, bigeminy and trigeminy. He's having a few brief runs occasionally now. On Quinidine in the past. Should I treat these?",How should I treat polymenorrhea in a 14-year-old girl?,0
Are there any contraindications to changing a patient's Ativan to Xanax?  Patient is also on Paxil.,Any contraindications to changing patient's Ativan to Xanax?  Also on Paxil.,1
What do you do for mild vesicoureteral reflux? What kind of followup do you do and how often? Do you repeat it (the voiding cystourethrogram)?,Patient going to Cancun. Does he need Hepatitis A vaccine?,0
"This patient has abdominal distension with a huge left shift. Is it because of a urinary, blood, or some other infection?",This patient has abdominal distension with a huge left shift. Is it because of an infection?,1
"She has a bronchitis. The question is whether it is viral or bacterial. It's been going on for a month, so the way I'm going to answer it is to put her on some erythromycin and see how she does.",She has a bronchitis. The question is whether it is viral or bacterial.,1
When does the incidence of testicular cancer fall off in terms of age?  When is it OK to stop doing self exams?,Patient reluctant to take medication. How to control hypertension and still get her cooperation?,0
"45-year-old man admitted today, now in hospital, seen by tertiary care center visiting cardiologist today. Do you use intravenous nitroglycerine on everybody, even if you only need low dose, or is paste okay?","Do you use intravenous nitroglycerine on everybody, even if you only need low dose, or is paste okay?",1
What percent of migraines have loss of vision associated with them?  Is that the cause of her loss of vision?  She lost all the vision in her right eye.  Computerized tomography (CT) and labs were fine.,What percent of migraines have loss of vision associated with them?,1
"Insulin dependent diabetes, follow-up hospitalization for skin graft for necrotizing fasciitis of calf.  Has areas on graft that ""almost look like boils.""  I'm not sure what this recurrent skin problem is.","Insulin-dependent diabetes mellitus, areas on skin graft ""almost look like boils."" I'm not sure what this is.",1
Is this level of Tylenol ingestion toxic?,How do you inject the bicipital tendon?,0
Does bradycardia contribute to heart failure?  Is it an indication for pacemaker or stopping digitalis?,"What is the maximum dose of digoxin? (patient seen in emergency room, had digoxin level less than 0.03)",0
Does obesity affect the efficacy of oral contraceptives?,Does obesity affect the efficacy of oral contraceptives?,1
"This is an ethical question. I have an elderly lady who is depressed. But she considers depression a ""moral weakness"" and says she's not depressed. So the question is, ""Can I give her an antidepressant and say it's an energy pill?""",How should I treat polymenorrhea in a 14-year-old girl?,0
Is it really Benadryl that's in Tylenol PM?  I just didn't want her taking that with all her muscle relaxants.,Is it really Benadryl that's in Tylenol PM?,1
What are the causes of ear pain (otalgia) other than ear disease?,Is it possible for someone to get recurrent pelvic inflammatory disease without a new exposure?,0
"My question was, ""Can we treat a four-week old with griseofulvin?""",Boys' father has Marfan's Syndrome. Do these boys need further evaluation?,0
How do you convert grams to millimoles and milliequivalents?,How should I treat polymenorrhea in a 14-year-old girl?,0
I saw a girl with a seizure disorder. I had to look up Keppra and Topamax. Have you ever heard of those?,How should I treat polymenorrhea in a 14-year-old girl?,0
"Woman got an echocardiogram this morning.  ""Biventricular thickening, might consider amyloidosis.""  How is it that I workup amyloid and is it worth it?",How is it that I workup amyloid and is it worth it?,1
28-year-old obstetric patient with a rash. What is the rash?,What is this rash?,1
Why would you use an alpha and beta blocker like Coreg for heart failure?,"Is Serzone okay to give to with a partial gastrectomy; that is, will it be absorbed?",0
Next is a huge question for me. Painful cracks in thick skin on the feet. How to treat this?,What is the treatment for cracks in the skin on the feet?,1
"In a diabetic, already on an adequate dose of angiotensin converting enzyme (ACE) inhibitor for high microalbuminuria or hypertension, is there any reason to continue to screen for microalbuminuria? Or should you just follow the creatinine?",Why did she get Coccidiomycosis?,0
What is the etiology of Klebsiella pneumonia?,What is the etiology of Klebsiella pneumonia?,1
"I saw a young boy.  ""What is the definition of conduct disorder?""","46-year-old woman, thyroid nodule. Thyroid function tests normal. Would you skinny needle it?",0
"What are the important clinical differences between Prozac, Zoloft, and Paxil?","What are the differences between Prozac, Zoloft, and Paxil?",1
What is this rash?,What is this rash?,1
"Could any of her medications cause her to be incontinent? She's on thioridazine, carbamazepine, Klonopin, theophylline, Premarin, trazodone.",Could any of her medications cause her to be incontinent?,1
What does the psychiatry service like to use instead of Haldol for sedation for sun downing?,"68-year-old woman, husband: ""Have you told about sleep apnea?"" What are those spells?",0
"What is the difference in price and otherwise between Cardizem, Cardizem CD and Cardizem SR?","What is the difference in price and otherwise between Cardizem, Cardizem CD and Cardizem SR?",1
How do you write intravenous (IV) orders for maintenance and replacement fluids for kids?,How should I treat polymenorrhea in a 14-year-old girl?,0
17-year-old for a Reserve Officers' Training Corps physical. He has a Grade I to II systolic murmur. Should he get an echocardiogram?,What antibiotic should I use for this diabetic patient's infected foot ulcer?,0
"No symptoms, previous prostate biopsy. Prostate specific antigen in 1994= approximately 4; 1995= approximately 4; 1996=approximately 6.5. What to do? Should you biopsy again?",I wonder if this patient could have a rotator cuff thing?,0
Should moderate elevations (200 - 1000) in triglycerides be treated with drugs or diet?  When and how should you treat isolated hypertriglyceridemia or high lipids but mainly hypertriglyceridemia?,On nonstress test after every acceleration brief sharp not deep deceleration. Important?,0
What is the dose of captopril?,What is the dose of captopril?,1
"A child had taken Claritin 6 months ago, had medicine left over.  Is it OK to take the medication now? Is the dose the same?",Is Claritin still good after 6 months?,1
"12 year-old girl with chronic form of idiopathic thrombocytopenic purpura. She gets routine draws every month and today her platelets were down to about 9000. I know at around 8 to 10 you're supposed to treat but the question is, exactly at what level are you supposed to treat and what is the treatment?",Is upset stomach a side effect of Glucotrol? Hadn't seen that before.,0
What would cause the expulsion of air from the vagina other than a rectovaginal fistula in a normal woman?,Why did she get Coccidiomycosis?,0
"21-year-old man.  I looked up to see, in a guy I used Lamisil for toenail fungus, do you need to do liver function tests?",Do you need to monitor liver function studies when on Lamisil?,1
What is the dose of Azmacort?,What is the dose of Azmacort?,1
57-year-old white female. Factor V Leiden? Does it increase the risk of coronary disease? Should you screen for it?,"Obstetric patient, 39 weeks had a little sore, ? herpes. How long after she heals is it safe to do a vaginal delivery?",0
Do you generally use antiinflammatory drugs for acute joint injuries before you inject?,Why did she get Coccidiomycosis?,0
"21-year-old woman. ""For people with recurrent bacterial vaginitis, do you do any suppressive treatment?""",Is there a preventive treatment for bacterial vaginosis?,1
What is the clinical significance of distant heart sounds?  Can it be a sign of congestive heart failure (CHF)?,Can I use low molecular weight heparin in pregnancy (patient with deep vein thrombosis last pregnancy)?,0
How do you instruct someone to irrigate their nose for sinusitis?,How do you instruct someone to irrigate their nose for sinusitis?,1
"If a woman has had a subtotal hysterectomy (still has a cervix) and needs hormone replacement therapy, does she need Provera?","If a woman has had a subtotal hysterectomy and needs hormone replacement, does she need Provera?",1
"83-year-old woman with chronic edema in her legs.  She scraped it and got cellulitis.  Now do I keep her on antibiotics until every bit of redness is gone, or can I stop now assuming the redness is consistent with resolving cellulitis?",What clinical signs should determine when to stop antibiotics?,1
What would cause longitudinal ridging of the fingernails?,What would cause longitudinal ridging of the fingernails?,1
Is there an association between high serum iron levels and coronary artery disease?,What is the dose of Sporanox?,0
A newborn was found to be hypoglycemic at birth on routine screen and despite treatment it persisted and was not responsive to treatment. The question was what to do about this.,How do you work up an infant with persistent hypoglycemia?,1
"After removing an adenomatous colonic polyp, how often should the patient have follow-up colonoscopy?","After removing an adenomatous polyp, how often should the patient have colonoscopy?",1
"49-year-old woman. Single area of herpes zoster, less than 48 hours old. Since it's so small, should I treat her?","Second infectious mononucleosis test negative. Is it a false positive (sic, meant negative)?",0
"What is a ""low renin, low aldosterone state""? (hyporeninemic-hypoaldosteronism, Type 4 renal tubular acidosis)","What is a ""low renin, low aldosterone state""?",1
"17-year-old with institutional colon, rolling on the floor, screaming. They gave a soap suds enema but that was no help. The home was calling the physician for advice. The physician said, ""What's the best treatment for institutional colon?""",What antibiotics can he take because he's on a nevirapine study?,0
How good is the evidence that cimetidine (Tagamet) is effective for warts?,Why did she get Coccidiomycosis?,0
"45-year-old woman.  The study physician's partner called her in to see this patient's rash.  The question is, ""What is this rash?""",What is causing his fatigue? Long lasting viral entity? Not sure of diagnosis.,0
"50-year-old female with bug bites, bra and panties area. 1 cm papules, straight forward bug bites. What bug? Also had a cough. Is the cough related to the bug bites?","50-year-old female with 1 centimeter papules, straight forward bug bites. What bug?",1
Saw this patient earlier.  I overheard his telephone conversation with hospital pharmacist (I believe patient is in hospital).  Question he had was whether they make a one gram pill of Glucophage.,Does Glucophage come in a one-gram tablet?,1
Why would someone have a large abdomen with a large pannus but normal size arms and legs?,Why would someone have a large abdomen with a large pannus but normal size arms and legs?,1
How often should this patient need a pneumonia vaccine?  Her last one was in 1993.,How often should this patient need a pneumonia vaccine?  Her last one was in 1993.,1
Patient with history of 1 week of treatment for addiction.  Patient says her counselor told her Buspar is not addictive.  Is that correct?,Patient says her counselor told her Buspar is not addictive.  Is that correct?,1
"If you have lactose intolerance, is it okay to drink yogurt or sweet acidophilus milk?",Can I use low molecular weight heparin in pregnancy (patient with deep vein thrombosis last pregnancy)?,0
"Do we do a leukapheresis for a white count of 300,000?","Do we do a leukapheresis for a white count of 300,000?",1
This is the 64-thousand-dollar question.  When do you refer a patient with head trauma for a computerized tomography (CT)?  99 out of 100 will be okay but I remember a couple of horror stories.,How do you use Redux?  What are the indications?,0
"Patient with amenorrhea for 6 months.  Prolactin slightly high, testosterone slightly high.  Follicle stimulating hormone (FSH) and luteinizing hormone (LH) consistent with follicular phase.  I just waited and she got her period spontaneously but I don't really have an answer as to the cause.","Amenorrhea for 6 months. Prolactin slightly high, testosterone slightly high. Amenorrhea cause?",1
A child was scratched by a stray cat. Mom is concerned about rabies. What shots does she need and where on the body does she receive them?,A child was scratched by a stray cat.  What shots does she need?,1
"I (investigator) saw the study physician open a reference. I said, ""What's the . . . ?"" She said, ""I'm just looking for doses for miglitol.""",What is the dose of miglitol?,1
What would cause a low platelet count (thrombocytopenia)? Can alcoholism do it?,What would cause a low platelet count?,1
"What should we be doing to screen for lead in infants and children?  What are the current recommendations of American Academy of Pediatrics, American Academy of Family Physicians, Centers for Disease Control?",What asthma inhaler is blue and white?,0
How do you manage a threatened abortion?,Can I use low molecular weight heparin in pregnancy (patient with deep vein thrombosis last pregnancy)?,0
